Designator,Mid X,Mid Y,Rotation,Layer
C1_4,89.2,-76.42,0.0,top
C1_3,89.2,-44.67,0.0,top
C1_2,67.31,-76.2,180.0,top
C1,67.31,-44.45,180.0,top
C2_4,85.6,-86.32,0.0,top
C2_3,85.6,-54.57,0.0,top
C2_2,67.31,-54.61,180.0,top
C2,67.31,-86.36,180.0,top
C3_4,80.05,-90.37,270.0,top
C3_3,80.05,-58.62,270.0,top
C3_2,67.31,-88.9,180.0,top
C3,67.31,-57.15,180.0,top
C4_4,82.05,-90.52,270.0,top
C4_3,82.05,-58.77,270.0,top
C4_2,62.865,-91.44,180.0,top
C4,62.865,-59.69,180.0,top
C5_4,96.35,-92.92,90.0,top
C5_3,96.35,-61.17,90.0,top
C5_2,49.53,-57.15,0.0,top
C5,49.53,-88.9,0.0,top
C6_4,102.35,-84.77,180.0,top
C6_3,102.35,-53.02,180.0,top
C6_2,58.42,-46.99,0.0,top
C6,58.42,-78.74,0.0,top
C7_4,90.8,-85.92,0.0,top
C7_3,90.8,-54.17,0.0,top
C7_2,72.39,-46.99,180.0,top
C7,72.39,-78.74,180.0,top
C8_4,90.8,-83.52,0.0,top
C8_3,90.8,-51.77,0.0,top
C8_2,72.39,-49.53,180.0,top
C8,72.39,-81.28,180.0,top
C9_4,102.35,-82.27,180.0,top
C9_3,102.35,-50.52,180.0,top
C9_2,58.42,-72.39,270.0,top
C9,58.42,-40.64,270.0,top
D1_4,100.55,-73.87,270.0,top
D1_3,100.55,-42.12,270.0,top
D1_2,55.88,-72.39,270.0,top
D1,55.88,-40.64,270.0,top
J1_4,111.355,-88.04,90.0,top
J1_3,111.355,-56.29,90.0,top
J1_2,54.67,-64.245,0.0,top
J1,54.67,-95.995,0.0,top
LS1_4,87.15,-84.425,180.0,bottom
LS1_3,87.15,-52.675,180.0,bottom
LS1_2,58.485,-78.66,90.0,bottom
LS1,58.485,-46.91,90.0,bottom
Logo1_4,91.15,-96.92,0.0,bottom
Logo1_3,91.15,-65.17,0.0,bottom
Logo1_2,58.42,-87.884,180.0,bottom
Logo1,58.42,-56.134,180.0,bottom
Q1_4,106.6,-93.07,270.0,top
Q1_3,106.6,-61.32,270.0,top
Q1_2,44.45,-88.265,0.0,top
Q1,44.45,-56.515,0.0,top
Q2_2,105.65,-73.62,90.0,top
Q2,105.65,-41.87,90.0,top
Q3_2,44.45,-78.74,0.0,top
Q3,44.45,-46.99,0.0,top
R1_4,85.25,-76.47,0.0,top
R1_3,85.25,-44.72,0.0,top
R1_2,67.31,-73.66,0.0,top
R1,67.31,-41.91,0.0,top
R10_4,103.8,-77.27,0.0,top
R10_3,103.8,-45.52,0.0,top
R10_2,49.53,-44.45,180.0,top
R10,49.53,-76.2,180.0,top
R11_4,96.7,-71.47,180.0,top
R11_3,96.7,-39.72,180.0,top
R11_2,67.31,-62.23,180.0,top
R11,67.31,-93.98,180.0,top
R12_4,106.85,-78.17,90.0,top
R12_3,106.85,-46.42,90.0,top
R12_2,49.53,-41.91,0.0,top
R12,49.53,-73.66,0.0,top
R13_4,94.3,-77.62,180.0,top
R13_3,94.3,-45.87,180.0,top
R13_2,72.39,-54.61,0.0,top
R13,72.39,-86.36,0.0,top
R14_4,90.85,-88.12,180.0,top
R14_3,90.85,-56.37,180.0,top
R14_2,72.39,-52.07,0.0,top
R14,72.39,-83.82,0.0,top
R15_4,102.2,-94.02,180.0,top
R15_3,102.2,-62.27,180.0,top
R15_2,49.53,-86.36,0.0,top
R15,49.53,-54.61,0.0,top
R16_4,102.35,-80.17,0.0,top
R16_3,102.35,-48.42,0.0,top
R16_2,49.53,-71.12,180.0,top
R16,49.53,-39.37,180.0,top
R17_4,107.3,-86.52,270.0,top
R17_3,107.3,-54.77,270.0,top
R17_2,49.53,-62.23,180.0,top
R17,49.53,-93.98,180.0,top
R18_4,102.75,-73.87,90.0,top
R18_3,102.75,-42.12,90.0,top
R18_2,60.96,-72.39,90.0,top
R18,60.96,-40.64,90.0,top
R19_4,83.45,-79.02,0.0,top
R19_3,83.45,-47.27,0.0,top
R19_2,67.31,-71.12,180.0,top
R19,67.31,-39.37,180.0,top
R2_4,91.0,-80.47,270.0,top
R2_3,91.0,-48.72,270.0,top
R2_2,67.31,-49.53,0.0,top
R2,67.31,-81.28,0.0,top
R3_4,85.6,-82.17,180.0,top
R3_3,85.6,-50.42,180.0,top
R3_2,67.31,-46.99,0.0,top
R3,67.31,-78.74,0.0,top
R4_4,85.6,-84.22,180.0,top
R4_3,85.6,-52.47,180.0,top
R4_2,67.31,-52.07,0.0,top
R4,67.31,-83.82,0.0,top
R5_4,84.0,-90.37,270.0,top
R5_3,84.0,-58.62,270.0,top
R5_2,67.31,-91.44,180.0,top
R5,67.31,-59.69,180.0,top
R6_4,93.15,-94.02,270.0,top
R6_3,93.15,-62.27,270.0,top
R6_2,49.53,-91.44,180.0,top
R6,49.53,-59.69,180.0,top
R7_4,99.25,-91.97,0.0,top
R7_3,99.25,-60.22,0.0,top
R7_2,49.53,-83.82,0.0,top
R7,49.53,-52.07,0.0,top
R8_4,102.35,-88.57,0.0,top
R8_3,102.35,-56.82,0.0,top
R8_2,49.53,-49.53,0.0,top
R8,49.53,-81.28,0.0,top
R9_4,97.8,-75.02,90.0,top
R9_3,97.8,-43.27,90.0,top
R9_2,49.53,-46.99,180.0,top
R9,49.53,-78.74,180.0,top
U1_4,96.75,-84.78,180.0,top
U1_3,96.75,-53.03,180.0,top
U1_2,58.42,-85.09,0.0,top
U1,58.42,-53.34,0.0,top
